__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.1/values.1,/dynamic_joint_states/interface_values.1/values.7,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.7,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/parameter_events/new_parameters.0/value/bool_value,/parameter_events/new_parameters.0/value/double_value,/parameter_events/new_parameters.0/value/integer_value,/parameter_events/new_parameters.0/value/type,/parameter_events/stamp/nanosec,/parameter_events/stamp/sec,/tf/arm1/arm2/header/stamp,/tf/arm1/arm2/rotation/w,/tf/arm1/arm2/rotation/x,/tf/arm1/arm2/rotation/y,/tf/arm1/arm2/rotation/z,/tf/arm1/arm2/translation/x,/tf/arm1/arm2/translation/y,/tf/arm1/arm2/translation/z,/tf/base_link/arm1/header/stamp,/tf/base_link/arm1/rotation/w,/tf/base_link/arm1/rotation/x,/tf/base_link/arm1/rotation/y,/tf/base_link/arm1/rotation/z,/tf/base_link/arm1/translation/x,/tf/base_link/arm1/translation/y,/tf/base_link/arm1/translation/z
1699470926.939939,,,,,,,,,,1699470926.939305544,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.941642,,,,,,,,,,1699470926.941306353,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.941925,1699470926.941306353,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.943758,1699470926.943306446,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.943892,,,,,,,,,,1699470926.943306446,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.945563,,,,,,,,,,1699470926.945308208,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.945609,1699470926.945308208,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.947480,1699470926.947315693,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.947860,,,,,,,,,,1699470926.947315693,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.949590,,,,,,,,,,1699470926.949323177,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.949911,1699470926.949323177,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.951744,1699470926.951321602,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.951792,,,,,,,,,,1699470926.951321602,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.953601,1699470926.953210592,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.953636,,,,,,,,,,1699470926.953210592,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
